Date,Daily_Emotion_Score,Total_Hype_Volume,Post_Count,SP500_Close,SP500_Volume
2020-09-29,0.9127,4,1,3335.469970703125,3661590000
2021-01-28,0.023345112781954887,1149849,1197,3787.3798828125,6992770000
2021-01-29,-0.008826303045749969,6410329,15694,3714.239990234375,6643370000
2021-02-01,0.16912816742081446,3739587,884,3773.860107421875,5436230000
2021-02-02,0.10003994673768309,1180580,1502,3826.31005859375,5514090000
2021-02-03,0.09011797200151343,2598921,2643,3830.169921875,4864870000
2021-02-04,0.14500490724117296,1596620,1671,3871.739990234375,4879240000
2021-02-05,0.10634953810623557,520268,2598,3886.830078125,4879470000
2021-02-08,0.23425365853658536,915611,287,3915.590087890625,4648360000
2021-02-09,0.333227027027027,622279,148,3911.22998046875,4568320000
2021-02-10,0.31381801801801806,748261,222,3909.8798828125,4837070000
2021-02-11,0.48795147928994087,607271,169,3916.3798828125,4590960000
2021-02-12,0.3717966480446927,328666,179,3934.830078125,4135060000
2021-02-16,0.47549555555555556,440192,90,3932.590087890625,5058990000
2021-02-17,0.3372076023391813,459476,171,3931.330078125,4730650000
2021-02-18,0.2585673469387755,718558,245,3913.969970703125,4793650000
2021-02-19,0.20082536023054756,1852723,347,3906.7099609375,4845320000
2021-02-22,0.2164244604316547,549580,139,3876.5,5917100000
2021-02-23,0.21336156716417912,433130,268,3881.3701171875,6296610000
2021-02-24,0.21956875,524486,240,3925.429931640625,6012790000
2021-02-25,0.1592183486238532,1768786,545,3829.340087890625,6547470000
2021-02-26,0.2061879646017699,1750456,565,3811.14990234375,6526070000
2021-03-01,0.38563458646616544,404930,133,3901.820068359375,5114820000
2021-03-02,0.24841476323119777,626312,359,3870.2900390625,5536010000
2021-03-03,0.24976570458404074,681107,589,3819.719970703125,6173660000
2021-03-04,0.32323473684210524,545827,475,3768.469970703125,7195400000
2021-03-05,0.2321992974238876,591337,427,3841.93994140625,6851070000
2021-03-08,0.3254031746031746,480100,126,3821.35009765625,5871710000
2021-03-09,0.24634576271186442,1098635,354,3875.43994140625,5513560000
2021-03-10,0.25396346483704973,1221089,583,3898.81005859375,5847380000
2021-03-11,0.21375722021660648,1083129,554,3939.340087890625,5312880000
2021-03-12,0.28668782051282055,817901,312,3943.340087890625,4476280000
